31,19,19.08,19.15,19.23,19.3,19.38,19.53,19.68,19.83,19.98,20.13,20.28,20.43,20.58,20.73,20.88,21.1,21.33,21.55,21.78,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
32,22,22.58,23.15,23.73,24.3,24.88,26.03,27.18,28.33,29.48,30.63,31.78,32.93,34.08,35.23,36.38,38.1,39.83,41.55,43.28,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
33,2.45,2.46,2.47,2.48,2.49,2.5,2.51,2.52,2.53,2.54,2.55,2.65,2.75,2.85,2.95,3.05,3.15,3.35,3.55,3.75,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
34,13,13.18,13.35,13.53,13.7,13.88,14.23,14.58,14.93,15.28,15.63,15.98,16.33,16.68,17.03,17.38,17.9,18.43,18.95,19.48,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
35,1.4,1.42,1.44,1.46,1.48,1.5,1.52,1.57,1.62,1.67,1.72,2.02,2.32,2.62,2.92,3.65,3.92,4.19,4.46,4.73,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
36,90,90.15,90.3,90.45,90.6,90.75,91.05,91.35,91.65,91.95,92.25,92.55,92.85,93.15,93.45,93.75,94.2,94.65,95.1,95.55,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96
37,27.5,27.56,27.62,27.69,27.75,27.81,27.94,28.06,28.19,28.31,28.44,28.56,28.69,28.81,28.94,29.06,29.25,29.44,29.62,29.81,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
38,35,35.13,35.25,35.38,35.5,35.63,35.88,36.13,36.38,36.63,36.88,37.13,37.38,37.63,37.88,38.13,38.5,38.88,39.25,39.63,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
39,10.3,10.32,10.34,10.35,10.37,10.39,10.42,10.46,10.49,10.53,10.56,10.6,10.63,10.67,10.7,10.74,10.79,10.84,10.9,10.95,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
40,43,43.08,43.15,43.23,43.3,43.38,43.53,43.68,43.83,43.98,44.13,44.28,44.43,44.58,44.73,44.88,45.1,45.33,45.55,45.78,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
41,6,6.03,6.05,6.08,6.1,6.13,6.18,6.23,6.28,6.33,6.38,6.43,6.48,6.53,6.58,6.63,6.7,6.78,6.85,6.93,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
